base_bid,impressions,cost,clicks,ctr,cpc
10.8,15618,191.754,10,0.000640286848508132,19.1754
10.9,15833,194.863,10,0.000631592244047243,19.4863
11,15968,197.196,10,0.00062625250501002,19.7196
11.1,16063,199.458,10,0.000622548714436905,19.9458
11.2,16195,201.854,10,0.000617474529175672,20.1854
11.3,16388,204.847,10,0.00061020258725897,20.4847
11.4,16517,207.073,11,0.00066598050493431,18.8248181818182
11.5,16645,209.65,11,0.000660859116851907,19.0590909090909
11.6,16780,211.886,11,0.00065554231227652,19.2623636363636
11.7,16983,215.058,11,0.000647706530059471,19.5507272727273
11.8,17134,217.373,11,0.000641998365822342,19.7611818181818
11.9,17310,219.969,11,0.000635470826112074,19.9971818181818
12,17451,222.467,11,0.000630336370408573,20.2242727272727
12.1,17596,225.332,11,0.000625142077744942,20.4847272727273
12.2,17759,228.384,11,0.000619404245734557,20.7621818181818
12.3,17979,231.628,11,0.000611824906835753,21.0570909090909
12.4,18121,234.562,11,0.000607030517079631,21.3238181818182
12.5,18209,236.602,11,0.000604096875171618,21.5092727272727
12.6,18319,238.728,11,0.000600469457939844,21.7025454545455
12.7,18479,241.674,11,0.000595270306834785,21.9703636363636
12.8,18663,244.742,11,0.00058940148957831,22.2492727272727
12.9,18814,247.749,11,0.00058467098968853,22.5226363636364
13,18962,250.218,11,0.000580107583588229,22.7470909090909
13.1,19105,252.528,11,0.000575765506411934,22.9570909090909
13.2,19300,256.729,11,0.000569948186528497,23.339
13.3,19510,260.216,11,0.000563813429010764,23.656
13.4,19651,262.848,11,0.00055976795074042,23.8952727272727
13.5,19752,265.02,11,0.00055690562980964,24.0927272727273
13.6,19922,268.189,12,0.00060234916173075,22.3490833333333
13.7,20090,271.951,12,0.000597312095569935,22.6625833333333
13.8,20262,275.164,12,0.000592241634586911,22.9303333333333
13.9,20395,278.38,12,0.000588379504780584,23.1983333333333
14,20524,280.693,12,0.000584681348664978,23.3910833333333
14.1,20649,283.745,12,0.000581141943919802,23.6454166666667
14.2,20884,288.328,12,0.000574602566558131,24.0273333333333
14.3,21111,293.051,12,0.000568424044337075,24.4209166666667
14.4,21414,297.918,12,0.000560381059120202,24.8265
14.5,21543,300.615,12,0.000557025483915889,25.05125
14.6,21714,303.874,12,0.000552638850511191,25.3228333333333
14.7,21856,306.763,12,0.00054904831625183,25.5635833333333
14.8,22158,312.737,12,0.000541565123206066,26.0614166666667
14.9,22353,316.541,12,0.000536840692524493,26.3784166666667
15,22480,319.346,12,0.000533807829181495,26.6121666666667
15.1,22644,322.716,12,0.000529941706412295,26.893
15.2,22822,326.6,12,0.000525808430461835,27.2166666666667
15.3,22998,330.318,12,0.000521784503000261,27.5265
15.4,23178,333.949,12,0.000517732332384157,27.8290833333333
15.5,23288,336.082,12,0.000515286843009275,28.0068333333333
15.6,23491,339.989,12,0.000510833936401175,28.3324166666667
15.7,23631,342.91,13,0.000550124836020482,26.3776923076923
15.8,23835,347.598,13,0.000545416404447241,26.7383076923077
15.9,24061,351.969,13,0.000540293420888575,27.0745384615385
16,24382,357.84,13,0.00053318021491264,27.5261538461538
16.1,24589,362.232,13,0.000528691691406727,27.864
16.2,24776,366.053,13,0.000524701323861802,28.1579230769231
16.3,24944,370.268,13,0.000521167415009622,28.4821538461538
16.4,25100,373.963,13,0.00051792828685259,28.7663846153846
16.5,25231,377.213,13,0.000515239189885458,29.0163846153846
16.6,25495,383.134,13,0.000509903902726025,29.4718461538462
16.7,25705,387.29,13,0.000505738183232834,29.7915384615385
16.8,25928,391.915,14,0.000539956803455724,27.9939285714286
16.9,26091,395.238,14,0.000536583496224752,28.2312857142857
17,26266,398.791,14,0.000533008451991167,28.4850714285714
17.1,26462,403.522,14,0.00052906053964175,28.823
17.2,26736,409.455,14,0.000523638539796529,29.2467857142857
17.3,27090,416.682,14,0.000516795865633075,29.763
17.4,27316,421.927,14,0.000512520134719578,30.1376428571429
17.5,27515,426.386,14,0.000508813374522987,30.4561428571429
17.6,27785,432.071,14,0.000503868994061544,30.8622142857143
17.7,27958,435.911,14,0.000500751126690035,31.1365
17.8,28196,440.47,14,0.000496524329692155,31.4621428571429
17.9,28421,445.194,14,0.000492593504802787,31.7995714285714
18,28992,456.345,14,0.000482891832229581,32.5960714285714
18.1,29217,461.636,14,0.00047917308416333,32.974
18.2,29404,466.071,14,0.000476125697184057,33.2907857142857
18.3,29675,472.013,14,0.000471777590564448,33.7152142857143
18.4,29881,476.704,14,0.000468525149760718,34.0502857142857
18.5,30162,483.476,14,0.000464160201578145,34.534
18.6,30399,488.656,14,0.000460541465179776,34.904
18.7,30736,497.163,14,0.000455491931285789,35.5116428571429
18.8,30993,503.536,15,0.000483980253605653,33.5690666666667
18.9,31217,508.092,15,0.000480507415831118,33.8728
19,31463,513.004,15,0.000476750468804628,34.2002666666667
19.1,31720,518.724,15,0.000472887767969735,34.5816
19.2,32120,527.79,15,0.000466998754669988,35.186
19.3,32447,534.841,15,0.00046229235368447,35.6560666666667
19.4,32696,540.424,15,0.000458771715194519,36.0282666666667
19.5,32963,547.032,15,0.000455055668476777,36.4688
19.6,33142,551.572,15,0.000452597912014966,36.7714666666667
19.7,33293,555.443,15,0.000450545159643168,37.0295333333333
19.8,33489,559.574,15,0.000447908268386634,37.3049333333333
19.9,33679,564.058,15,0.000445381394934529,37.6038666666667
20,33954,570.461,15,0.000441774165046828,38.0307333333333
20.1,34334,579.386,16,0.000466010368730704,36.211625
20.2,34660,586.86,17,0.000490478938257357,34.5211764705882
20.3,35114,597.694,18,0.000512616050578117,33.2052222222222
20.4,35375,603.849,18,0.000508833922261484,33.5471666666667
20.5,35561,608.109,18,0.000506172492337111,33.7838333333333
20.6,35839,614.72,19,0.000530148720667429,32.3536842105263
20.7,35999,619.487,19,0.000527792438678852,32.6045789473684
20.8,36183,623.951,19,0.0005251084763563,32.8395263157895
20.9,36440,630.232,19,0.000521405049396268,33.1701052631579
21,36691,636.348,19,0.000517838161947071,33.492
21.1,36858,640.382,19,0.000515491887785555,33.7043157894737
21.2,37091,645.638,19,0.000512253646437141,33.9809473684211
21.3,37320,651.701,19,0.000509110396570204,34.300052631579
21.4,37521,656.094,19,0.000506383092135071,34.5312631578947
21.5,37852,663.26,19,0.000501954982563669,34.9084210526316
